1,Monaco,90
2,Macau,84
3,Japan,84
4,Singapore,84
5,San Marino,83
6,Hong Kong,83
7,Andorra,83
8,Switzerland,82
9,Guernsey,82
10,Australia,82
11,Italy,82
12,Sweden,82
13,Liechtenstein,82
14,Canada,82
15,France,82
16,Jersey,82
17,Norway,82
18,Spain,81
19,Israel,81
20,Iceland,81
21,Anguilla,81
22,Netherlands,81
23,Bermuda,81
24,Cayman Islands,81
25,Isle of Man,81
26,New Zealand,81
27,Ireland,81
28,Germany,80
29,United Kingdom,80
30,Greece,80
31,Saint Pierre and Miquelon,80
32,Austria,80
33,Malta,80
34,Faroe Islands,80
35,European Union,80
36,Luxembourg,80
37,Belgium,80
38,Taiwan,80
39,"Korea, South",80
40,Virgin Islands,80
41,Finland,80
42,United States,80
43,Turks and Caicos Islands,80
44,Wallis and Futuna,79
45,"Saint Helena, Ascension, and Tristan da Cunha",79
46,Gibraltar,79
47,Denmark,79
48,Puerto Rico,79
49,Portugal,79
50,Guam,79
51,Bahrain,79
52,Chile,78
53,Qatar,78
54,Cyprus,78
55,Czech Republic,78
56,Panama,78
57,British Virgin Islands,78
58,Costa Rica,78
59,Cuba,78
60,Curacao,78
61,Albania,78
62,Slovenia,78
63,Dominican Republic,78
64,Kuwait,78
65,Northern Mariana Islands,78
66,Sint Maarten,78
67,Argentina,78
68,Saint Lucia,77
69,New Caledonia,77
70,Lebanon,77
71,United Arab Emirates,77
72,Uruguay,77
73,Paraguay,77
74,French Polynesia,77
75,Brunei,77
76,Slovakia,77
77,Poland,77
78,Dominica,77
79,Morocco,77
80,Croatia,76
81,Algeria,76
82,Ecuador,76
83,Aruba,76
84,Sri Lanka,76
85,Bosnia and Herzegovina,76
86,Antigua and Barbuda,76
87,Libya,76
88,Lithuania,76
89,Tonga,76
90,Macedonia,76
91,Georgia,76
92,West Bank,76
93,Tunisia,76
94,Hungary,75
95,Mexico,75
96,Cook Islands,75
97,Saint Kitts and Nevis,75
98,Colombia,75
99,Mauritius,75
100,Maldives,75
101,China,75
102,Serbia,75
103,Barbados,75
104,Oman,75
105,American Samoa,75
106,Solomon Islands,75
107,Saint Vincent and the Grenadines,75
108,Saudi Arabia,75
109,Romania,75
110,Gaza Strip,75
111,Malaysia,75
112,Venezuela,74
113,Bulgaria,74
114,Seychelles,74
115,El Salvador,74
116,Thailand,74
117,Armenia,74
118,Jordan,74
119,Estonia,74
120,Montserrat,74
121,Grenada,74
122,Jamaica,73
123,Egypt,73
124,Latvia,73
125,Uzbekistan,73
126,Turkey,73
127,Brazil,73
128,Peru,73
129,Samoa,73
130,Vietnam,73
131,Nicaragua,73
132,Vanuatu,73
133,Palau,73
134,Marshall Islands,73
135,Philippines,72
136,"Micronesia, Federated States of",72
137,Trinidad and Tobago,72
138,Indonesia,72
139,Belarus,72
140,Fiji,72
141,"Bahamas, The",72
142,Azerbaijan,72
143,Greenland,72
144,Guatemala,72
145,Suriname,72
146,Cabo Verde,72
147,Iraq,71
148,Honduras,71
149,Iran,71
150,Bangladesh,71
151,Kazakhstan,70
152,Russia,70
153,Moldova,70
154,Kyrgyzstan,70
155,"Korea, North",70
156,Turkmenistan,69
157,Ukraine,69
158,Mongolia,69
159,Bhutan,69
160,Bolivia,69
161,Belize,68
162,Syria,68
163,Guyana,68
164,India,68
165,Timor-Leste,67
166,Nepal,67
167,Tajikistan,67
168,Pakistan,67
169,Papua New Guinea,67
170,Nauru,66
171,Burma,66
172,Tuvalu,66
173,Ghana,66
174,Kiribati,65
175,Madagascar,65
176,Yemen,65
177,"Gambia, The",64
178,Sao Tome and Principe,64
179,Togo,64
180,Cambodia,64
181,Kenya,64
182,Eritrea,64
183,Laos,64
184,Equatorial Guinea,63
185,Comoros,63
186,Sudan,63
187,Haiti,63
188,Djibouti,62
189,Mauritania,62
190,Western Sahara,62
191,Tanzania,61
192,Benin,61
193,Senegal,61
194,Ethiopia,61
195,Malawi,60
196,Guinea,60
197,Burundi,60
198,Rwanda,59
199,"Congo, Republic of the",59
200,Liberia,58
201,Cote d'Ivoire,58
202,Sierra Leone,57
203,Cameroon,57
204,"Congo, Democratic Republic of the",57
205,Zimbabwe,56
206,Angola,55
207,Mali,55
208,Burkina Faso,55
209,Niger,55
210,Uganda,54
211,Botswana,54
212,Lesotho,53
213,Nigeria,53
214,Mozambique,53
215,Gabon,52
216,Namibia,52
217,Zambia,52
218,Somalia,52
219,Central African Republic,51
220,Swaziland,51
221,Afghanistan,50
222,Guinea-Bissau,50
223,South Africa,50
224,Chad,49